customer_id,order_id,customer_age,customer_region,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,detractor_probability,risk_band
1437,51437,43,Sudeste,33,560.69,4,60.52,6,4,7,70.98,3,2,7,8,0.9998391214521349,Critico
329,50329,48,Centro-Oeste,31,294.92,4,5.7,11,12,6,51.43,1,4,6,9,0.9998197444777808,Critico
2356,52356,54,Sul,13,716.05,1,11.77,7,11,6,63.44,3,5,1,10,0.9997206622225105,Critico
462,50462,57,Sul,48,222.5,3,48.65,6,9,5,48.83,2,6,3,10,0.9996187420774869,Critico
1423,51423,51,Centro-Oeste,40,369.2,4,21.99,6,7,6,41.88,3,3,7,8,0.9995885662109686,Critico
1763,51763,47,Sul,115,522.64,6,2.87,2,3,7,45.93,1,2,10,6,0.9995538039854343,Critico
1558,51558,43,Nordeste,74,72.55,5,3.81,11,8,5,22.71,3,4,8,9,0.9995451470409623,Critico
767,50767,46,Norte,84,139.76,5,9.24,11,6,5,45.37,2,4,10,8,0.999449388284845,Critico
955,50955,45,Sudeste,15,174.88,3,15.02,9,10,8,40.97,1,2,8,5,0.9994131684811195,Critico
596,50596,39,Sul,35,544.91,1,17.71,8,11,5,60.58,3,4,6,9,0.9993824046457409,Critico
1644,51644,29,Sul,1,846.57,2,23.25,9,5,6,37.5,3,3,7,8,0.9992820233648247,Critico
1511,51511,51,Norte,113,217.88,6,63.54,2,11,5,46.34,1,2,6,8,0.9992811034471174,Critico
371,50371,55,Sudeste,8,136.63,6,10.21,10,13,7,39.27,1,2,7,6,0.999200255481834,Critico
1584,51584,56,Norte,96,738.19,6,34.16,2,8,5,25.67,3,3,9,8,0.9990601609857519,Critico
773,50773,21,Norte,89,542.58,1,3.45,5,14,8,42.85,3,1,8,4,0.9987478954172625,Critico
665,50665,49,Centro-Oeste,116,626.83,3,15.11,10,9,5,50.74,2,2,10,7,0.9987233152623344,Critico
1861,51861,36,Norte,7,859.15,2,67.46,5,5,3,32.79,2,6,10,10,0.9987072592750115,Critico
466,50466,20,Sudeste,2,165.13,2,9.41,4,11,6,29.83,3,3,6,7,0.9986465941527831,Critico
849,50849,62,Sul,71,441.62,6,4.1,7,11,5,17.16,1,3,11,7,0.9985123996365525,Critico
442,50442,38,Centro-Oeste,66,37.84,2,74.94,9,10,3,37.44,3,5,0,11,0.9984303845736465,Critico
1826,51826,54,Centro-Oeste,1,206.34,1,57.21,7,14,5,11.93,3,3,10,7,0.9983773505400179,Critico
1318,51318,42,Sudeste,119,487.05,1,2.02,6,3,6,33.21,3,2,9,6,0.9981610240323209,Critico
542,50542,26,Norte,73,374.93,3,54.23,1,7,5,37.95,1,1,11,6,0.9979755188450325,Critico
969,50969,38,Centro-Oeste,70,449.7,1,62.82,4,10,4,27.9,3,4,9,8,0.9979719798937166,Critico
169,50169,24,Nordeste,76,597.96,6,59.9,3,13,2,16.93,1,4,11,10,0.9978685156551125,Critico
1944,51944,63,Sul,81,430.53,1,35.25,10,11,7,42.29,1,1,10,4,0.9978506993407741,Critico
1046,51046,54,Centro-Oeste,7,160.92,1,14.39,11,5,7,51.92,3,1,5,5,0.9977947704714971,Critico
819,50819,40,Norte,22,540.24,3,50.89,2,13,3,62.74,2,4,3,10,0.9977663926234986,Critico
957,50957,62,Nordeste,7,323.25,3,12.78,4,12,4,47.3,2,3,8,8,0.997764888502414,Critico
135,50135,53,Sudeste,34,233.13,1,2.43,6,11,5,30.7,3,1,8,7,0.9977340410559082,Critico
57,50057,36,Centro-Oeste,109,285.91,4,82.01,3,5,1,34.0,1,7,9,11,0.9975902458075173,Critico
2138,52138,33,Nordeste,46,286.08,5,29.58,4,10,7,56.05,3,1,4,5,0.9974899704872082,Critico
380,50380,54,Sul,62,367.95,2,42.89,6,12,5,28.55,1,3,11,6,0.9972821672957292,Critico
1002,51002,58,Norte,106,198.12,6,28.95,2,14,3,55.7,1,2,9,8,0.9972000948632533,Critico
769,50769,45,Norte,75,482.15,2,37.46,4,12,5,21.47,2,4,6,7,0.9969729325592541,Critico
1841,51841,20,Norte,64,214.06,3,29.29,10,2,4,32.05,2,3,11,7,0.9968645224302656,Critico
928,50928,49,Sudeste,103,623.62,2,57.31,1,13,5,49.87,3,2,10,6,0.9968065061516087,Critico
2051,52051,42,Nordeste,93,80.39,6,16.11,4,6,6,47.56,1,2,7,5,0.9967342380807966,Critico
2216,52216,41,Centro-Oeste,80,244.92,6,0.38,2,7,5,48.26,2,2,8,6,0.9965628021093582,Critico
1811,51811,54,Nordeste,97,839.1,4,77.66,5,12,5,30.42,2,4,6,7,0.9965279918652561,Critico
1598,51598,50,Norte,118,316.61,4,39.48,5,4,8,36.26,2,2,1,4,0.9965136322655569,Critico
1337,51337,20,Centro-Oeste,9,106.28,6,9.72,4,3,6,46.73,1,1,7,5,0.996453583735372,Critico
1213,51213,59,Centro-Oeste,59,191.56,1,2.93,3,9,3,40.13,2,2,9,8,0.9961694491554891,Critico
1184,51184,58,Norte,107,426.27,5,2.55,7,11,3,54.33,3,4,10,8,0.996116500027011,Critico
1949,51949,58,Centro-Oeste,90,777.3,1,20.5,9,5,5,35.0,3,5,6,7,0.996070935036073,Critico
1776,51776,36,Nordeste,50,135.24,4,14.51,4,8,5,44.62,2,3,3,7,0.9960327914857386,Critico
401,50401,50,Centro-Oeste,47,516.65,4,1.33,4,9,3,26.85,1,4,11,8,0.9959951175898704,Critico
1909,51909,26,Sul,110,474.72,4,67.29,11,7,5,20.34,3,3,10,6,0.9957973073266158,Critico
199,50199,36,Nordeste,25,557.64,6,3.34,3,2,5,41.44,2,3,5,7,0.9957825680823691,Critico
745,50745,25,Sul,73,328.62,5,43.11,10,12,6,44.36,2,2,7,5,0.9956451863774294,Critico
114,50114,56,Nordeste,36,645.84,1,73.53,6,3,4,45.49,2,4,10,7,0.9955996735952728,Critico
976,50976,41,Centro-Oeste,70,335.79,4,24.22,6,12,2,49.03,1,4,9,9,0.9955765953658778,Critico
2354,52354,28,Norte,115,208.24,3,1.81,6,4,3,5.93,1,4,10,8,0.9955633032326209,Critico
881,50881,60,Nordeste,117,7.76,4,29.21,1,6,4,25.37,1,3,7,7,0.9955433240941712,Critico
2035,52035,32,Sul,97,217.15,3,22.53,8,2,6,30.65,3,3,3,6,0.9955414543343176,Critico
69,50069,24,Sul,45,1402.67,1,43.56,9,8,4,51.51,2,5,3,9,0.995524284500778,Critico
2403,52403,46,Centro-Oeste,65,167.97,2,5.72,1,11,6,26.01,2,2,1,6,0.9954535502625665,Critico
846,50846,23,Centro-Oeste,83,479.17,6,86.32,1,10,5,43.06,3,3,7,6,0.9953536183787351,Critico
2369,52369,62,Norte,111,164.97,2,106.39,6,12,7,44.19,3,1,8,3,0.9951294598125422,Critico
475,50475,21,Norte,46,262.34,6,2.51,11,11,4,41.05,2,2,3,8,0.9951051631980364,Critico
1635,51635,18,Sul,76,155.47,6,34.47,10,14,5,40.27,1,2,11,5,0.994953923666508,Critico
409,50409,36,Norte,96,912.65,1,6.72,11,4,5,40.62,3,5,0,8,0.9948428220478426,Critico
2057,52057,25,Norte,33,996.42,3,9.6,8,4,4,39.62,2,4,6,8,0.9948397041947009,Critico
2224,52224,39,Sudeste,85,19.28,1,24.08,3,3,6,27.06,3,1,6,5,0.9947811233521899,Critico
1222,51222,48,Norte,74,315.47,5,11.57,6,5,4,15.39,1,2,3,8,0.9947664088132513,Critico
1916,51916,23,Norte,116,284.14,5,38.98,4,4,4,49.83,2,3,11,6,0.9946071711735988,Critico
817,50817,37,Nordeste,97,690.01,4,47.3,3,13,2,64.73,3,4,4,10,0.9945519375122126,Critico
1522,51522,38,Sudeste,85,453.73,4,8.69,1,6,5,15.44,2,1,8,6,0.9943870012508779,Critico
2244,52244,31,Centro-Oeste,97,556.18,2,25.01,9,2,5,53.27,2,2,6,6,0.9943560549027528,Critico
355,50355,30,Nordeste,72,486.17,2,83.69,10,5,5,52.08,2,2,1,7,0.9942809940866773,Critico
278,50278,54,Sudeste,69,214.21,5,9.15,4,4,4,47.49,2,2,7,7,0.9942695595768273,Critico
1013,51013,45,Sudeste,95,133.27,1,59.37,10,8,4,25.78,3,4,3,8,0.9942276467537337,Critico
1411,51411,33,Norte,108,271.42,2,46.12,9,11,4,18.8,3,2,7,7,0.9941523579740721,Critico
1096,51096,42,Nordeste,107,695.91,3,56.14,2,9,5,52.95,2,0,10,5,0.9940066741371244,Critico
1869,51869,48,Centro-Oeste,65,625.39,1,15.25,3,9,1,36.23,1,6,10,10,0.9939573087510419,Critico
510,50510,30,Sul,117,520.24,2,31.98,8,3,3,18.01,3,4,0,10,0.9939080450959205,Critico
1932,51932,45,Centro-Oeste,98,191.39,1,12.9,4,7,7,59.1,3,1,2,4,0.9938863444503417,Critico
999,50999,50,Sudeste,3,818.05,2,31.12,1,11,5,39.17,3,3,4,7,0.9938599858557502,Critico
217,50217,53,Norte,25,504.75,4,27.33,11,7,2,32.18,2,4,10,9,0.9938389803942703,Critico
812,50812,51,Sul,56,213.14,2,21.35,10,5,3,66.87,1,3,11,7,0.9937868259303478,Critico
1350,51350,38,Sul,23,112.19,5,30.19,7,6,4,36.73,1,1,6,7,0.9937855148716613,Critico
252,50252,28,Sudeste,22,465.21,4,0.23,8,11,6,70.59,2,1,5,5,0.993727691974072,Critico
1805,51805,36,Centro-Oeste,58,242.06,3,33.33,6,2,6,39.08,3,3,5,5,0.9936694032541159,Critico
315,50315,53,Sul,82,382.09,2,71.83,9,6,4,45.79,2,2,11,6,0.993636324031607,Critico
1970,51970,40,Centro-Oeste,41,339.39,3,35.53,3,11,4,57.96,1,5,5,7,0.9934974257321652,Critico
1189,51189,54,Nordeste,109,694.73,2,6.08,10,9,4,40.84,3,3,8,7,0.9934843683074847,Critico
2073,52073,60,Norte,94,93.21,4,2.75,10,4,5,49.82,1,4,4,6,0.9934201659808755,Critico
370,50370,56,Sudeste,71,216.93,1,105.78,2,7,5,50.06,1,1,3,6,0.9932163451350442,Critico
147,50147,62,Sul,30,379.53,4,33.46,5,11,4,22.43,3,4,3,8,0.9929424322187012,Critico
1052,51052,44,Norte,6,241.59,1,4.99,1,12,6,37.73,1,1,3,5,0.9929284237778923,Critico
2316,52316,47,Sul,99,76.13,1,20.98,7,14,6,23.08,1,2,3,5,0.9928317668260956,Critico
1484,51484,39,Norte,49,387.3,4,10.41,11,4,4,28.6,3,5,8,7,0.992759670748406,Critico
275,50275,39,Norte,61,317.11,1,6.86,11,6,4,32.21,1,4,11,6,0.9926951823328338,Critico
1114,51114,21,Nordeste,87,92.04,5,79.35,1,7,3,10.23,1,4,11,7,0.9926486342947247,Critico
751,50751,39,Sudeste,80,474.68,1,30.24,6,14,6,21.66,2,1,10,4,0.9926297776783372,Critico
611,50611,54,Norte,20,496.11,6,101.13,9,11,6,29.64,1,2,4,5,0.9925539689010361,Critico
2233,52233,54,Nordeste,34,149.63,5,70.5,10,14,4,17.88,2,3,11,6,0.9925201231142835,Critico
341,50341,35,Centro-Oeste,44,629.15,2,41.01,11,5,3,28.9,1,5,8,8,0.9924490630906506,Critico
563,50563,34,Centro-Oeste,111,393.63,5,24.65,9,5,4,43.96,3,2,0,8,0.9922543466157328,Critico
1206,51206,58,Centro-Oeste,86,1276.13,4,87.36,8,3,3,21.05,2,5,10,8,0.9922289444426664,Critico
66,50066,69,Nordeste,53,198.64,2,24.32,5,3,3,57.25,2,3,5,8,0.9921329569414439,Critico
763,50763,55,Nordeste,52,120.2,2,0.47,10,5,3,4.61,2,4,3,9,0.9921044919943015,Critico
1994,51994,19,Sul,76,489.59,6,39.27,8,8,4,53.25,1,3,10,6,0.9920920982630002,Critico
738,50738,51,Norte,81,129.27,4,4.3,2,7,3,47.36,3,4,5,8,0.9920156660014366,Critico
37,50037,53,Norte,23,557.8,4,0.31,9,8,5,44.25,1,3,10,5,0.9919273441690951,Critico
1897,51897,48,Centro-Oeste,105,264.11,2,5.37,10,11,3,35.01,3,1,10,7,0.9918816997187866,Critico
140,50140,48,Norte,56,150.15,5,36.37,7,6,4,44.72,2,3,9,6,0.9918562626517734,Critico
978,50978,31,Norte,11,403.97,4,17.8,9,8,3,42.82,1,3,11,7,0.9917936480119389,Critico
940,50940,57,Nordeste,17,314.17,6,121.0,3,8,7,44.65,1,1,1,4,0.9917313378839135,Critico
2046,52046,32,Sul,89,182.71,2,15.34,5,5,4,20.27,1,3,10,6,0.9917277985451223,Critico
2310,52310,34,Sul,88,309.13,5,38.91,8,9,5,36.58,3,4,5,6,0.9917045865318218,Critico
1497,51497,64,Sudeste,12,344.26,5,26.39,10,8,4,34.14,2,4,7,7,0.9916146971501238,Critico
1995,51995,29,Centro-Oeste,75,245.97,2,29.13,3,5,5,47.44,2,1,7,5,0.9914103944976937,Critico
1612,51612,58,Nordeste,76,897.65,2,4.05,5,8,5,15.81,1,2,1,7,0.9908036754537505,Critico
333,50333,37,Centro-Oeste,81,65.83,4,19.8,6,7,6,43.82,1,1,5,4,0.9906916664217654,Critico
1050,51050,48,Nordeste,115,788.38,3,18.53,11,11,5,24.37,2,1,5,6,0.9906336659288879,Critico
1552,51552,57,Centro-Oeste,25,309.7,5,50.56,8,7,3,40.94,2,4,10,7,0.9905712789252823,Critico
1717,51717,20,Centro-Oeste,39,709.72,2,6.81,11,4,5,38.5,2,2,5,6,0.9905289117595543,Critico
1529,51529,44,Nordeste,18,268.09,4,13.46,8,7,3,29.51,2,3,11,7,0.9903833553070187,Critico
2333,52333,20,Norte,22,346.33,6,42.01,9,12,4,57.96,3,0,8,6,0.990383150610208,Critico
